id;username;password;email;created_at;updated_at
83c8e93c-48d8-4093-a9db-455b849f5b2f;admin;admin;admin@gmail.com;2017-02-03T11:35:30;2020-02-01T12:12:12
d48ff3ef-284b-4a13-9f2f-5293c6faee48;moderator1;moderator1;moderator1@gmail.com;2018-03-03T11:35:30;2020-01-06T14:40:00
1236c964-2ca7-4231-acd7-2d01f929d607;moderator2;moderator2;moderator2@gmail.com;2018-09-03T14:00:30;2020-02-15T16:50:00
be76c10c-15e1-4e6d-9a46-0a996d7a9f63;moderator3;moderator3;moderator3@gmail.com;2018-11-03T09:45:30;2019-12-10T16:36:00
d3ff33c7-c03c-4c1b-818b-f119c2a2ca94;manager1;manager1;manager1@gmail.com;2016-02-03T11:35:30;2020-02-01T12:12:12
cafc5da9-8b6c-4413-8c39-ffd1c982f2ee;manager2;manager2;manager2@gmail.com;2017-05-03T11:35:30;2019-02-01T10:12:00
96c703f0-d270-4e61-bf01-66e8077dfdec;user1;pass1;user1@gmail.com;2019-02-03T11:35:30;2020-02-01T12:17:12
6005f237-913a-4549-b5fd-8d4594dc0344;user2;pass2;user2@gmail.com;2018-02-03T11:35:36;2020-02-01T12:12:12
18eaf5e7-3d93-4588-a310-f162351d6bdd;user3;pass3;user3@gmail.com;2018-10-03T11:35:50;2019-09-05T12:09:17
45ad83a4-5220-4e62-a8e7-36143c77da61;user4;pass4;user4@gmail.com;2020-01-03T17:00:00;2020-02-01T12:12:00
a2812cd1-2c6a-4759-a9cd-a3a57accb2c8;user5;pass5;user5@gmail.com;2018-02-03T11:35:30;2019-01-01T12:10:12
392223c5-7dd6-4d1a-b355-d5cf0ac27256;user6;pass6;user6@gmail.com;2019-06-20T07:31:30;2019-01-30T12:12:00
e524949e-c49d-4402-bee4-8866ed732981;user7;pass7;user7@gmail.com;2019-12-13T19:45:05;2020-01-06T23:45:12
8b6e2eb5-48d0-4b4f-8d34-f6c3293139a3;user8;pass8;user8@gmail.com;2020-02-03T11:35:30;2019-01-01T16:12:19
